Language_ID	na_prop	GB020	GB021	GB022	GB023	GB024	GB025	GB026	GB027	GB028	GB030	GB031	GB035	GB036	GB037	GB038	GB039	GB041	GB042	GB043	GB044	GB046	GB047	GB048	GB049	GB051	GB052	GB053	GB054	GB057	GB058	GB059	GB065	GB068	GB069	GB070	GB071	GB072	GB073	GB074	GB075	GB079	GB080	GB081	GB082	GB083	GB084	GB086	GB089	GB090	GB091	GB092	GB093	GB094	GB095	GB096	GB098	GB099	GB103	GB104	GB105	GB107	GB108	GB109	GB110	GB111	GB113	GB114	GB115	GB116	GB117	GB118	GB119	GB120	GB121	GB122	GB123	GB124	GB126	GB127	GB129	GB130	GB131	GB132	GB133	GB134	GB135	GB136	GB137	GB138	GB139	GB140	GB146	GB147	GB148	GB149	GB150	GB151	GB152	GB155	GB156	GB158	GB159	GB160	GB165	GB166	GB167	GB170	GB171	GB172	GB177	GB184	GB185	GB186	GB187	GB188	GB192	GB193	GB196	GB197	GB198	GB203	GB204	GB250	GB252	GB253	GB254	GB256	GB257	GB260	GB262	GB263	GB264	GB265	GB266	GB270	GB273	GB275	GB276	GB285	GB286	GB291	GB296	GB297	GB298	GB299	GB300	GB301	GB302	GB303	GB304	GB305	GB306	GB309	GB312	GB313	GB314	GB315	GB316	GB317	GB318	GB319	GB320	GB321	GB322	GB323	GB324	GB325	GB326	GB327	GB328	GB329	GB330	GB331	GB333	GB334	GB335	GB336	GB400	GB401	GB402	GB403	GB408	GB409	GB410	GB415	GB421	GB422	GB430	GB431	GB432	GB433	GB519	GB520	GB521	GB522
lafo1243	0.6512820512820513	NA	NA	NA	NA	NA	NA	0	NA	0	0	0	NA	NA	NA	0	1	NA	0	0	1	NA	NA	NA	NA	0	1	1	0	NA	0	0	3	NA	NA	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	1	0	0	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1	0	NA	NA	1	0	NA	1	0	0	3	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	1	NA	0	0	0	0	0	0	0	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	NA	NA	NA	NA	0	0	1	0	NA	NA	0	1	0	0	NA	NA	NA	1
nyan1301	0.6512820512820513	0	0	NA	NA	3	3	NA	1	1	0	NA	0	NA	NA	NA	NA	0	0	NA	NA	NA	0	0	0	NA	0	0	0	0	0	NA	3	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	0	NA	NA	0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	1	0	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	0	1	0	NA	NA	NA	NA
suru1261	0.6512820512820513	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	1	0	0	NA	0	0	NA	NA	NA	1	1	0	0	0	NA	NA	NA	NA	NA	1	NA	1	1	1	0	NA	1	1	1	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	1	0	NA	NA	0	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	NA	1	1	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	NA	NA	NA	NA	NA	NA	0	0	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	0	1	NA	0	0	0	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	1	1	NA	NA
awab1243	0.6564102564102564	NA	0	NA	NA	2	1	NA	1	0	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	1	1	NA	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	1	1	NA	0	0	NA	NA	1	1	NA	1	NA	0	0	0	NA	0	0	NA	NA	NA	1	0	0	1	NA	NA	1	NA	NA	1	NA	NA	0	0	NA	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA
kara1476	0.6564102564102564	NA	0	NA	NA	2	1	NA	1	1	0	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	1	1	0	NA	0	NA	0	0	0	NA	2	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	1	0	NA	NA	NA	1	0	0	1	NA	NA	1	NA	NA	1	NA	NA	0	0	NA	NA	0	1	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	1	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA
ngal1296	0.6564102564102564	0	0	0	0	2	2	0	NA	0	1	0	1	0	0	1	NA	NA	0	0	1	1	1	NA	1	0	0	0	0	0	NA	1	2	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	0	NA	1	NA	NA	1	0	1	0	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0	0	1	0	0	0	0	1	0	0	1	NA	0	1	0	0	0	NA	NA	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ocea1241	0.6564102564102564	NA	NA	1	0	NA	2	NA	NA	1	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	0	0	0	0	NA	1	1	3	1	NA	NA	NA	NA	NA	1	0	1	NA	NA	0	0	0	1	0	1	0	1	1	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	1	NA	1	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	2	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	0	0	0	1	NA	NA	0	1
tuca1252	0.6564102564102564	NA	0	NA	NA	1	1	NA	1	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	1	NA	NA	0	0	NA	1	1	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	1	0	0	NA	NA	NA	1	0	0	1	NA	NA	1	NA	NA	1	NA	NA	1	0	NA	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	1	NA	NA	0	0	1	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	1	0	0	NA	NA	NA	NA
dier1241	0.6615384615384615	NA	0	NA	NA	2	3	NA	1	1	NA	NA	0	NA	NA	NA	NA	0	0	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0	0	NA	3	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	NA	NA	1	1	NA	1	1	NA	NA	NA	0	NA	0	NA	NA	NA	1	0	0	1	NA	NA	1	NA	NA	0	NA	NA	1	1	NA	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	1	1	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA
geru1240	0.6615384615384615	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	1	1	0	0	1	0	NA	NA	NA	1	NA	NA	NA	NA	0	NA	2	NA	NA	0	0	NA	NA	NA	NA	NA	1	NA	NA	0	NA	1	0	0	0	0	1	0	0	0	0	0	NA	NA	0	1	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	1	0	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	0	0	0	0	0	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	1	1	0	0	NA	NA	NA	0	0	0	1	0	NA	NA	0	0	0	1	NA	NA	NA	NA
iwai1244	0.6615384615384615	NA	NA	NA	NA	NA	1	NA	NA	1	0	0	0	0	0	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	NA	NA	0	NA	NA	NA	NA	1	0	1	0	0	0	NA	NA	NA	NA	NA	0	0	0	NA	0	0	NA	NA	NA	NA	NA	0	1	1	NA	NA	0	NA	NA	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	1
macu1259	0.6615384615384615	0	0	NA	NA	2	1	NA	1	1	0	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	1	1	1	NA	0	NA	NA	0	0	NA	1	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	1	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	1	NA	NA	NA	1	0	NA	0	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	1	0	0	NA	NA	NA	NA
wira1265	0.6615384615384615	0	0	NA	NA	NA	1	NA	1	1	0	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	1	NA	0	0	0	0	0	NA	1	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	0	NA	1	NA	0	0	NA	NA	NA	NA	NA	NA	1	0	0	0	0	NA	0	NA	NA	NA	1	0	0	1	NA	NA	1	NA	NA	0	NA	NA	NA	NA	NA	1	1	0	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA
bara1380	0.6666666666666666	NA	1	NA	NA	3	1	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	1	NA	NA	0	0	NA	1	1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	1	1	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	1	0	0	NA	NA	NA	NA	0	NA	0	NA	NA	1	NA	NA	0	NA	NA	0	0	NA	0	1	0	1	NA	0	0	0	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	1	NA	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA
burm1264	0.6666666666666666	0	0	0	0	NA	NA	NA	NA	0	0	0	NA	0	0	NA	1	1	1	0	1	NA	NA	NA	NA	1	0	1	1	NA	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0	1	0	0	0	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1	NA	0	1	1	NA	0	NA	NA	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	0	0	0	0	1	NA	NA	NA	NA	NA	0	0	0	1	0	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
kaby1243	0.6666666666666666	0	0	0	0	NA	2	NA	NA	0	1	0	0	0	0	0	NA	NA	1	0	1	NA	1	1	1	1	0	0	0	0	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	1	0	0	NA	1	0	0	NA	NA	0	2	1	0	1	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
waja1257	0.6666666666666666	NA	0	NA	NA	2	2	NA	1	1	0	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	NA	0	NA	NA	0	0	NA	2	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	1	0	0	1	NA	NA	1	NA	NA	0	NA	NA	0	0	NA	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	0	1	0	NA	NA	NA	NA
wara1292	0.6666666666666666	1	1	0	1	2	2	0	NA	NA	1	0	0	0	0	0	1	NA	1	0	1	1	0	1	1	0	0	1	0	0	0	NA	1	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	0	NA	1	0	0	NA	NA	0	0	1	NA	0	2	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	1	1	NA
yano1262	0.6666666666666666	NA	0	NA	NA	NA	1	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	1	NA	0	NA	0	NA	1	1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1	1	0	0	NA	NA	NA	1	NA	0	0	NA	NA	NA	1	NA	1	NA	NA	NA	1	0	0	1	NA	NA	1	NA	NA	1	NA	NA	0	0	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	0	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	0	1	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	0	0	1	NA	NA	NA	NA
yinc1238	0.6666666666666666	0	0	0	0	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	2	NA	NA	0	0	NA	NA	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	NA	NA	NA	NA	1	NA	NA	0	0	NA	NA	NA	1	NA	NA	1	0	1	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	0	0	0	0	NA	1	1	1
ying1247	0.6666666666666666	1	NA	NA	NA	1	1	NA	1	0	0	NA	0	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	3	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	1	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	1	0	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	0	NA	NA	0	0	1	1	NA	NA	NA	NA
hert1241	0.6717948717948717	0	NA	NA	NA	1	1	NA	NA	NA	1	NA	0	0	0	0	1	0	1	0	1	0	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	0	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	0	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	1	1	NA	NA	1	1	NA	NA	NA	0	NA	0	0	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	NA	NA	1	NA	NA	NA	0
lowe1412	0.6717948717948717	NA	NA	NA	NA	1	1	NA	NA	1	0	0	1	0	0	0	NA	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	1	NA	NA	1	1	NA	0	0	0	1	1	0	1	0	NA	NA	NA	NA	NA	NA	1	1	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	2	1	0	0	1	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	1	1	NA	1	NA
nade1244	0.6717948717948717	NA	0	NA	NA	1	2	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	1	1	NA	0	NA	0	0	1	NA	1	1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1	1	NA	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	0	1	NA	NA	NA	1	1	0	0	NA	NA	1	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	0	1	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	1	1	0	0	NA	NA	NA	NA
